PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,piece_count,pawn_count,what_mate,white_pieces,black_pieces
cXeEJ,8/R7/5N2/r4p2/2n2P1k/8/6K1/8 w - - 0 53,a3a5 a7h7,956,101,73,38,endgame master mate mateIn1 oneMove,https://lichess.org/o4RITpsQ/black#103,,8,2,1,4,4
G8IWH,8/5R2/4b1pk/8/6PP/5K2/r7/8 w - - 1 39,f5e6 g4g5 h6h5 f7h7,956,82,63,42,endgame mate mateIn2 short,https://lichess.org/a5V65QaG/black#75,,8,3,2,4,4
78xrB,8/8/4R3/2kp4/2nN4/2P5/K7/7r w - - 4 56,b5c5 e6c6,942,76,100,271,endgame hookMate mate mateIn1 oneMove,https://lichess.org/Lp83Gxiv/black#109,,8,2,1,4,4
pZYDg,8/8/8/p3Kp2/2B2Bk1/6Pr/8/8 w - - 4 49,h5h3 c4e2,934,80,90,568,endgame mate mateIn1 oneMove,https://lichess.org/1tT1O1AI/black#95,,8,3,1,4,4
uQbto,8/2R1N3/3p2pk/6rp/8/5K2/8/8 w - - 9 53,g4g5 e7g8,929,88,68,112,endgame mate mateIn1 oneMove,https://lichess.org/BB6zjw9I/black#103,,8,3,1,3,5
SbsVQ,8/8/8/p7/k2q4/1R1B4/P1K5/8 w - - 0 51,a7a5 d3b5,925,79,97,511,endgame mate mateIn1 oneMove,https://lichess.org/gHbRYNWK/black#99,,7,2,1,4,3
ly37o,8/5R2/8/2P5/3K4/3B4/p2q4/4k3 w - - 6 66,f2e1 f7f1,916,78,91,947,endgame mate mateIn1 oneMove,https://lichess.org/ckDOZrxR/black#129,,7,2,1,4,3
vwG7q,8/5N1R/7n/7k/3K2p1/6r1/8/8 w - - 0 56,g5g4 h7h6,910,75,100,111,endgame mate mateIn1 oneMove,https://lichess.org/JL4B3R68/black#109,,7,1,1,3,4
cyjfe,5N2/R6p/7k/6p1/7r/8/8/K1b5 w - - 0 48,g6g5 a7h7,905,152,58,43,endgame mate mateIn1 oneMove,https://lichess.org/NpW4RyJI/black#93,,8,2,1,3,5
4t1z6,5bk1/8/r4PP1/n4K2/8/2B5/8/8 w - - 1 57,f7g8 f6f7,904,82,84,130,advancedPawn endgame master mate mateIn1 oneMove,https://lichess.org/cCVM6xGx/black#111,,8,2,1,4,4
9g0E5,8/6pp/8/1R6/6Bk/2r2P2/2n2K2/8 w - - 5 41,g5h4 b5h5,900,154,92,39,endgame mate mateIn1 oneMove,https://lichess.org/pAY0FCTg/black#79,,9,3,1,4,5
NNBMn,8/5R1P/6k1/6P1/2p4K/1b6/8/4r3 w - - 3 53,f5g6 h7h8n,899,92,47,562,advancedPawn endgame mate mateIn1 oneMove promotion underPromotion,https://lichess.org/m4zZxUvl/black#103,,8,3,1,4,4
wdqc9,8/7r/6R1/kP6/2K5/8/1r6/8 w - - 2 54,b6a5 g6a6,894,108,57,37,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/C7rPFgVU/black#105,,6,1,1,3,3
K5eLs,2r5/5K1k/6p1/5b2/8/8/R7/8 w - - 4 49,h8h7 a2h2 f5h3 h2h3,888,84,77,144,endgame mate mateIn2 short,https://lichess.org/gneI2pgu/black#95,,6,1,2,2,4
othr2,8/8/7R/3bkpr1/8/4KP2/8/8 w - - 2 53,a2d5 f3f4,888,97,96,290,endgame mate mateIn1 oneMove,https://lichess.org/uO5BZKfZ/black#103,,7,2,1,3,4
Z5Vr1,kb6/p5p1/4K1Bp/8/8/6r1/8/8 w - - 2 53,h3g3 g6e4,869,94,65,171,endgame mate mateIn1 oneMove,https://lichess.org/iwHN92nH/black#103,,8,3,1,2,6
